table,Variable,Analysis,Site,Value,Zone,,,,,,,,Log10 Fitness,,,Log10 Size (HxWxL; cm3),,,Height (cm),,,ÃNo. of Branches,,,,,,,,Log10 Dist. to Neighbour (cm),,,Ranked Seed Set Ratio,,,Log10 Growth Rate (cm3/day),,,ÃFlowering Duration (days),,
1,FR.ALL,CV,AR,111,1,,,,,,S,Z,Mean ± se,CV (%),n,Mean ± se,CV (%),n,Mean ± se,CV (%),n,Mean ± se,CV (%),n,,,,S,Z,Mean ± se,CV (%),n,Mean ± se,CV (%),n,Mean ± se,CV (%),n,Mean ± se,CV (%),n
1,FR.ALL,CV,AR,94,2,,,,,,AR,1,183.68 ± 1.48,111,,45604.22 ± 1.305,138,,29.52 ± 2.037,35,,10.024 ± 0.01,33,,,,,AR,1,120.92 ± 1.10,31,,90.82 ± 6.79,23,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,BH,143,1,,,,,,,2,88.51 ± 1.25,94,,12724.87 ± 1.37,99,,23.00 ± 1.83,34,,6.66 ± 0.01,39,,,,,,2,11.55 ± 1.22,108,,77.13 ± 8.98,32,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,BH,106,2,,,,,,BH,1,211.56 ± 1.39,143,,26860.89 ± 1.48,200,,22.44 ± 1.45,32,,8.13 ± 0.009,36,,,,,BH,1,90.704 ± 1.20,49,,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,DB,150,1,,,,,,,2,11.98 ± 1.22,106,,328.69 ± 1.47,381,,9.44 ± 1.20,63,,3.16 ± 0.011,72,,,,,,2,11.93 ± 1.19,96,,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,DB,167,2,,,,,,DB,1,12.301 ± 1.28,150,,147.16 ± 1.41,176,,7.50 ± 0.53,30,,2.81 ± 0.011,63,,,,,DB,1,8.35 ± 1.22,230,,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,KB,101,1,,,,,,,2,3.49 ± 1.17,167,,66.29 ± 1.33,208,,9.18 ± 0.62,39,,2.17 ± 0.006,82,,,,,,2,9.40 ± 1.072,52,,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,KB,117,2,,,,,,KB,1,141.87 ± 1.49,101,,71419.71 ± 1.23,97,,26.82 ± 1.69,42,,6.87 ± 0.019,66,,,,,KB,1,75.71 ± 1.17,59,,107.62 ± 3.48,8,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,LH,152,1,,,,,,,2,110.48 ± 1.24,117,,6608.21 ± 1.25,111,,15.96 ± 0.99,31,,6.77 ± 0.006,33,,,,,,2,27.89 ± 1.095,41,,107.075 ± 4.37,11,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,CV,LH,110,2,,,,,,LH,1,220.054 ± 1.39,152,,12486.97 ± 1.49,250,,17.32 ± 1.57,40,,8.28 ± 0.012,36,,,,,LH,1,42.79 ± 1.31,88,,101.22 ± 12.16,59,,98.33 ± 1.45,117,,40.68 ± 0.19,42,
1,FR.ALL,CV,MNS,60,1,,,,,,,2,77.72 ± 1.24,110,,6689.044 ± 1.26,119,,16.033 ± 1.21,41,,5.95 ± 0.007,40,,,,,,2,11.99 ± 1.097,54,,57.705 ± 10.53,83,,77.85 ± 1.27,120,,31.81 ± 0.26,60,
1,FR.ALL,CV,MNS,199,2,,,,,,MNS,1,171.61 ± 1.14,60,,10311.32 ± 1.23,74,,15.90 ± 1.22,24,,7.45 ± 0.005,18,,,,,MNS,1,55.96 ± 1.27,77,,Ð,Ð,Ð,139.72 ± 1.25,73,,16.27 ± 0.26,62,
1,FR.ALL,CV,TH,81,1,,,,,,,2,12.12 ± 1.22,199,,416.76 ± 1.38,304,,11.90 ± 0.92,34,,2.41 ± 0.015,108,,,,,,2,10.005 ± 1.10,44,,Ð,Ð,Ð,7.052 ± 1.53,268,,21.64 ± 0.17,48,
1,FR.ALL,CV,TH,141,2,,,,,,TH,1,857.078 ± 1.16,81,,131249.43 ± 1.19,91,,29.69 ± 1.24,28,,11.70 ± 0.006,31,,,,,TH,1,122.11 ± 1.11,31,,30.075 ± 4.15,61,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,mean,AR,466,1,,,,,,,2,164.22 ± 1.301,141,,17301.38 ± 1.44,171,,25.96 ± 1.63,42,,8.19 ± 0.013,51,,,,,,2,12.48 ± 1.12,60,,45.58 ± 5.703,39,,Ð,Ð,Ð,Ð,Ð,Ð
1,FR.ALL,mean,AR,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,mean,BH,568,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,mean,BH,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,mean,DB,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,mean,DB,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FR.ALL,mean,KB,611,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
